date,symbol,price,ratio,to_buy,SMA_10d,SMA_50,other_expense
2021-11-02,CAH,45.43,0.0839574190450983,1,49.0,55.0,-1800000.0
2021-03-02,KR,30.19,0.1847961478663828,1,33.0,33.0,-5440000.0
2021-11-26,MCK,217.78,0.141024883724835,1,223.0,195.0,-2050000.0
2023-06-29,GPS,8.38,0.2084131659836065,1,9.0,11.0,-700000.0
2023-06-29,WBA,25.93,0.1847749561049863,0,31.0,36.0,-4000000.0
2023-03-03,WBA,32.49,0.2347292751482634,0,36.0,39.0,-4000000.0
2023-08-10,KSS,25.04,0.1693336280251961,0,29.0,26.0,-3040000.0
2023-08-10,WBA,26.72,0.1903761708476824,0,30.0,34.0,-4000000.0
2023-08-10,KR,47.62,0.2380210174155863,1,49.0,47.0,-5350000.0
2023-03-30,WBA,31.18,0.2252334385808911,0,33.0,38.0,-4000000.0
2023-03-16,GPS,9.39,0.2312243852459016,1,11.0,11.0,-700000.0
2023-03-16,KSS,20.37,0.1411923969499392,1,25.0,34.0,-3040000.0
2023-03-16,WBA,30.08,0.2172985614417157,0,34.0,38.0,-4000000.0
2021-08-24,CAH,47.65,0.0914523564785464,1,52.0,55.0,-1800000.0
2023-01-24,WBA,31.9,0.2333582511322276,0,36.0,40.0,-4000000.0
2022-10-31,KSS,25.25,0.1695312097977666,1,29.0,43.0,-2600000.0
2022-10-31,WBA,32.05,0.2375334393344536,0,35.0,43.0,-4000000.0
2022-02-10,CAH,49.54,0.0893889220580179,1,52.0,54.0,-1800000.0
2022-08-22,WBA,32.77,0.2427230706291648,0,40.0,45.0,-9050000.0
2023-03-02,WBA,31.85,0.230111436817555,0,36.0,39.0,-4000000.0
2021-08-02,CAH,54.83,0.1052311546344796,1,59.0,55.0,-1800000.0
2021-07-23,CAH,54.49,0.1045775449783648,1,58.0,55.0,-1800000.0
2021-11-08,KR,39.04,0.2306910292985554,1,41.0,38.0,-5440000.0
2023-03-08,KSS,23.2,0.1644104320919438,1,28.0,34.0,-3040000.0
2023-03-08,WBA,31.04,0.2242578389260227,0,35.0,39.0,-4000000.0
2022-09-08,WBA,31.58,0.2340192459853959,1,36.0,45.0,-4000000.0
2023-05-10,HBI,4.17,0.2344676345319355,1,5.0,8.0,-1570730.0
2023-05-10,GPS,7.93,0.1973072489754098,1,9.0,11.0,-700000.0
2023-05-10,WBA,28.44,0.2054612857282804,0,33.0,37.0,-4000000.0
2023-05-10,KR,47.4,0.2375523749140012,1,49.0,47.0,-5350000.0
2023-06-22,KSS,19.53,0.1320753674439164,1,23.0,27.0,-3040000.0
2023-06-22,WBA,29.15,0.2077008583076494,0,32.0,36.0,-4000000.0
2023-02-22,WBA,32.48,0.234528292502807,0,36.0,39.0,-4000000.0
2023-02-22,CAH,75.05,0.109444426061348,1,79.0,67.0,-1470000.0
2021-02-09,KR,30.98,0.1906419719542936,1,34.0,33.0,-5440000.0
2023-03-16,GPS,9.39,0.2312243852459016,1,11.0,11.0,-700000.0
2023-03-16,WBA,30.08,0.2172985614417157,0,34.0,38.0,-4000000.0
2023-01-17,WBA,32.28,0.2361533499619451,0,37.0,40.0,-4000000.0
2023-01-17,KR,44.31,0.2397951961011835,1,46.0,49.0,-5710000.0
2021-08-13,CAH,47.58,0.0913287005976598,1,54.0,55.0,-1800000.0
2022-10-17,KR,40.18,0.218661232304479,1,44.0,49.0,-5710000.0
2023-04-03,WBA,31.92,0.2306317566294658,0,34.0,38.0,-4000000.0
2023-04-03,CAH,74.76,0.1074547500082724,1,73.0,69.0,-1470000.0
2022-07-06,WBA,32.79,0.2457806917341463,0,40.0,47.0,-9050000.0
2023-06-27,WBA,26.18,0.1865334770125769,0,32.0,36.0,-4000000.0
2021-06-29,MCK,188.05,0.125758349144517,1,190.0,175.0,-2050000.0
2023-06-22,WBA,29.15,0.2077008583076494,0,32.0,36.0,-4000000.0
2023-06-22,CAH,90.17,0.1296012706396214,1,89.0,75.0,-1470000.0
2021-12-29,CAH,48.37,0.0893839979811284,1,50.0,54.0,-1800000.0
2022-09-12,WBA,32.17,0.2383794488444119,0,36.0,45.0,-4000000.0
